11/11/17,Clark Atlanta,90,Florida Tech,69
11/11/17,Coker,74,Erskine,63
11/11/17,NW Oklahoma St,77,C Oklahoma,60
11/11/17,St Edward's,91,Colorado Chr,78
11/11/17,Col Springs,103,Tarleton St             1,0
11/11/17,Concord,89,W Salem St,77
11/11/17,Concordia CA,103,CS San Marcos,86
11/11/17,Concordia NY,103,St Anselm,92
11/11/17,Concordia OR,65,CS San Bern.,64
11/11/17,Holy Names,76,CS Dom. Hills,69
11/11/17,C Washington,73,CS Monterey Bay,67
11/11/17,Seattle Pacific,70,CSU East Bay,59
11/11/17,Wilmington DE,78,CW Post,67
11/11/17,Daemen,78,Nyack,60
11/11/17,Dallas Bap,86,Mesa St,62
11/11/17,FL Southern,75,Delta St,67
11/11/17,S New Hampshire,84,Dist Columbia,69
11/11/17,Dixie St,69,UC San Diego,63
11/11/17,Eckerd,82,West Alabama,79
11/11/17,Georgia C&S,95,Emmanuel GA,86
11/11/17,SW Minnesota,70,Emporia St,66
11/11/17,E New Mexico,73,Ft Lewis,72
11/11/17,Fairmont St,92,Millersville,89
11/11/17,Roberts Wslyn,75,Felician,56
11/11/17,Ferris St,70,MO St Louis,46
11/11/17,Sioux Falls,96,Fort Hays St,92
11/11/17,Valdosta St,83,Fort Valley St,81
11/11/17,Franklin Pierce,78,Goldey Beacom,61
11/11/17,W Oregon,123,Fresno Pacific,67
11/11/17,Gannon,79,Shepherd,69
11/11/17,Slippery Rock,75,Glenville St,64
11/11/17,Hawaii Hilo,80,W Washington,76
11/11/17,Minot St,78,Henderson St,50
11/11/17,Hillsdale,74,IL Springfield,63
11/11/17,Indianapolis,100,Saginaw Val,70
11/11/17,Lincoln Mem,94,King TN,60
11/11/17,Lake Superior,96,KY Wesleyan,66
11/11/17,Lees-McRae,119,Tusculum,86
11/11/17,Le Moyne,70,Molloy,51
11/11/17,Union TN,66,LeMoyne-Owen,58
11/11/17,N Michigan,79,Lewis,78
11/11/17,Limestone,106,Mars Hill,92
11/11/17,Lincoln MO,70,OK Baptist,60
11/11/17,Lindenwood,69,MN Duluth,61
11/11/17,Shaw NC,78,Lock Haven,70
11/11/17,Regis CO,89,Lubbock Chr,74
11/11/17,S Indiana,87,Malone,76
11/11/17,Michigan Tech,82,WI Parkside,57
11/11/17,Rogers St,73,Midwest TX St,67
11/11/17,West Georgia,86,Miles,79
11/11/17,Palm Beach Atl,101,Mississippi Col,87
11/11/17,MN Mankato,91,MO Southern,89
11/11/17,S Arkansas,87,Moorhead St,72
11/11/17,Mt Olive,87,Young Harris,84
11/11/17,MT St-Billings,67,Sonoma St,61
11/11/17,NE Oklahoma,75,SE Oklahoma,63
11/11/17,Thomas Aquinas,82,New Haven,81
